Preferred_Name	Name	Source
12930879	ECK0512	Synonym
12930879	b0519	Synonym
12930879	b4507	Synonym
12930879	JW0508	Synonym
12930879	JW0507	Synonym
12930879	ylbE_2	Gene Name
12930879	ylbE_1	Gene Name
12930879	4056025	Entrez Gene ID
12930879	12930879	Entrez Gene ID
12930879	EBT00000041427	Ensembl Transcript ID
12930879	EBT00000041385	Ensembl Transcript ID
12930879	EBT00000041469	Ensembl Transcript ID
948956	ECK1007	Synonym
948956	b1016	Synonym
948956	b1017	Synonym
948956	JW5141	Synonym
948956	JW1002	Synonym
948956	efeU_1	Gene Name
948956	efeU_2	Gene Name
948956	948956	Entrez Gene ID
12931114	ECK1157	Synonym
12931114	b1169	Synonym
12931114	b1170	Synonym
12931114	JW5901	Synonym
12931114	JW5176	Synonym
12931114	ycgH_1	Gene Name
12931114	ycgH_2	Gene Name
12931114	2847703	Entrez Gene ID
12931114	12931114	Entrez Gene ID
12931114	EBT00000041361	Ensembl Transcript ID
12931114	EBT00000041334	Ensembl Transcript ID
12931114	EBT00000041595	Ensembl Transcript ID
12930613	ECK1234	Synonym
12930613	b1239	Synonym
12930613	b1240	Synonym
12930613	JW1227	Synonym
12930613	JW5883	Synonym
12930613	ychG_2	Gene Name
12930613	ychG_1	Gene Name
12930613	12930613	Entrez Gene ID
12930613	EBT00000041448	Ensembl Transcript ID
12930613	EBT00000041610	Ensembl Transcript ID
12930613	EBT00000041316	Ensembl Transcript ID
12931175	ECK1366	Synonym
12931175	b1369	Synonym
12931175	b1371	Synonym
12931175	JW5884	Synonym
12931175	JW5904	Synonym
12931175	lomR_1	Gene Name
12931175	lomR_2	Gene Name
12931175	4056036	Entrez Gene ID
12931175	12931175	Entrez Gene ID
12931175	EBT00000041487	Ensembl Transcript ID
12931175	EBT00000041463	Ensembl Transcript ID
12931175	EBT00000041628	Ensembl Transcript ID
2847750	ECK1398	Synonym
2847750	b1401	Synonym
2847750	b1405	Synonym
2847750	JW5802	Synonym
2847750	JW1402	Synonym
2847750	ydbA_1	Gene Name
2847750	ydbA_2	Gene Name
2847750	2847750	Entrez Gene ID
2847750	EBT00000041511	Ensembl Transcript ID
2847750	EBT00000041538	Ensembl Transcript ID
2847750	EBT00000041613	Ensembl Transcript ID
12931180	ECK1409	Synonym
12931180	b1416	Synonym
12931180	b1417	Synonym
12931180	JW1413	Synonym
12931180	JW5906	Synonym
12931180	gapC_2	Gene Name
12931180	gapC_1	Gene Name
12931180	2847738	Entrez Gene ID
12931180	12931180	Entrez Gene ID
12931180	EBT00000041421	Ensembl Transcript ID
12931180	EBT00000041337	Ensembl Transcript ID
12931180	EBT00000041325	Ensembl Transcript ID
948935	ECK1718	Synonym
948935	b1720	Synonym
948935	b1721	Synonym
948935	JW5278	Synonym
948935	JW1710	Synonym
948935	arpB_1	Gene Name
948935	arpB_2	Gene Name
948935	948935	Entrez Gene ID
948935	EBT00000041307	Ensembl Transcript ID
948935	EBT00000041601	Ensembl Transcript ID
948935	EBT00000041565	Ensembl Transcript ID
12932047	ECK1932	Synonym
12932047	b1933	Synonym
12932047	b1934	Synonym
12932047	JW1918	Synonym
12932047	JW5912	Synonym
12932047	yedN_2	Gene Name
12932047	yedN_1	Gene Name
12932047	2847704	Entrez Gene ID
12932047	12932047	Entrez Gene ID
12932047	EBT00000041466	Ensembl Transcript ID
12932047	EBT00000041442	Ensembl Transcript ID
